count	time
5176	2736351
5177	2736497
5178	2736713
5179	2736828
5180	2736916
5181	2737267
5182	2737436
5183	2737462
5184	2737540
5185	2737585
5186	2737734
5187	2737761
5188	2737874
5189	2737935
5190	2737958
5191	2738041
5192	2738138
5193	2738219
5194	2738220
5195	2738333
5196	2738411
5197	2738437
5198	2738448
5199	2738525
5200	2738590
5201	2738631
5202	2738837
5203	2738887
5204	2738949
5205	2738951
5206	2739038
5207	2739095
5208	2739138
5209	2739145
5210	2739158
5211	2739230
5212	2739388
5213	2739395
5214	2739540
5215	2739567
5216	2739698
5217	2739724
5218	2739787
5219	2740077
5220	2740207
5221	2740357
5222	2740638
5223	2740752
5224	2741040
5225	2741298
5226	2741479
5227	2741498
5228	2741801
5229	2742043
5230	2742098
5231	2742259
5232	2742372
5233	2742459
5234	2742502
5235	2742539
5236	2742612
5237	2742647
5238	2742711
5239	2742731
5240	2743179
5241	2743286
5242	2743495
5243	2743750
5244	2743816
5245	2743919
5246	2743926
5247	2744579
5248	2744630
5249	2744714
5250	2745264
5251	2745859
5252	2745953
5253	2745961
5254	2746132
5255	2746158
5256	2746192
5257	2746207
5258	2746286
5259	2746344
5260	2746750
5261	2746937
5262	2747507
5263	2747836
5264	2748712
5265	2749048
5266	2749071
5267	2750678
5268	2751053
5269	2751221
5270	2751257
5271	2751405
5272	2751425
5273	2751606
5274	2752131
5275	2753117
5276	2753190
5277	2758278
5278	2760141
5279	2760308
5280	2768999
5281	2771181
5282	2780689
5283	2782862
5284	2783402
5285	2784147
5286	2784176
5287	2784539
5288	2785926
5289	2786056
5290	2786218
5291	2787941
5292	2788006
5293	2788203
5294	2788521
5295	2789094
5296	2789629
5297	2789708
5298	2790400
5299	2791217
5300	2791387
5301	2791689
5302	2792392
5303	2792978
5304	2793738
5305	2794775
5306	2795216
5307	2796245
5308	2796403
5309	2796700
5310	2796952
5311	2797441
5312	2797458
5313	2797736
5314	2798438
5315	2798472
5316	2798631
5317	2798632
5318	2799653
5319	2800160
5320	2800308
5321	2800472
5322	2800647
5323	2801333
5324	2801912
5325	2802118
5326	2802215
5327	2802343
5328	2804160
5329	2804202
5330	2804704
5331	2804753
5332	2804865
5333	2805087
5334	2806053
5335	2806078
5336	2806107
5337	2806496
5338	2806842
5339	2807054
5340	2807371
5341	2808368
5342	2808919
5343	2809316
5344	2809465
5345	2809485
5346	2809490
5347	2810039
5348	2810928
5349	2811256
5350	2811845
5351	2811869
5352	2812077
5353	2812207
5354	2812243
5355	2812600
5356	2813094
5357	2813262
5358	2813530
5359	2813703
5360	2814053
5361	2814466
5362	2814667
5363	2814916
5364	2815292
5365	2815452
5366	2816295
5367	2816966
5368	2817490
5369	2817647
5370	2818281
5371	2818480
5372	2818852
5373	2819044
5374	2819400
5375	2819909
5376	2820176
5377	2821523
5378	2821790
5379	2822070
5380	2822223
5381	2822683
5382	2822714
5383	2823166
5384	2823221
5385	2823467
5386	2823905
5387	2823952
5388	2824070
5389	2824689
5390	2824731
5391	2824774
5392	2824903
5393	2825027
5394	2825059
5395	2825389
5396	2825594
5397	2825712
5398	2826200
5399	2826590
5400	2827406
5401	2827501
5402	2828174
5403	2829103
5404	2829252
5405	2829476
5406	2829653
5407	2829860
5408	2830226
5409	2831469
5410	2831842
5411	2832128
5412	2832555
5413	2832875
5414	2833492
5415	2833495
5416	2833672
5417	2834484
5418	2834735
5419	2836283
5420	2836438
5421	2836604
5422	2837558
5423	2837944
5424	2838847
5425	2839005
5426	2839735
5427	2840158
5428	2840302
5429	2840442
5430	2840639
5431	2840836
5432	2842139
5433	2842600
5434	2842631
5435	2842769
5436	2843732
5437	2844074
5438	2844683
5439	2845481
5440	2847867
5441	2848720
5442	2869272
5443	2869864
5444	2870543
5445	2872062
5446	2872255
5447	2872448
5448	2872872
5449	2873023
5450	2873787
5451	2873965
5452	2874141
5453	2874227
5454	2874303
5455	2874358
5456	2875027
5457	2875469
5458	2876047
5459	2876902
5460	2877784
5461	2877871
5462	2878628
5463	2879439
5464	2879969
5465	2880115
5466	2880128
5467	2880852
5468	2881005
5469	2881584
5470	2881619
5471	2882142
5472	2882447
5473	2883272
5474	2883378
5475	2883698
5476	2883851
5477	2884979
5478	2885860
5479	2886242
5480	2886687
5481	2886839
5482	2887835
5483	2888382
5484	2888554
